Ticker,Trailing P/E,Forward P/E,P/B,PEG Ratio,ROE,ROA,Debt/Equity,Current Ratio,Quick Ratio,Profit Margin,Operating Margin,Gross Margin,Revenue Growth,Earnings Growth,Trailing EPS,Forward EPS,Market Cap,Enterprise Value,Dividend Yield,Payout Ratio,Beta,Sector,Industry,Shares Outstanding,Float Shares,Book Value Per Share,P/S,EV/Revenue,EV/EBITDA,Insider Ownership,Institutional Ownership,Short Ratio,Most Recent Quarter,Earnings Date
AKAM,31.234528,12.622553,2.7879052,1.1,0.091730006,0.035940003,114.024,2.363,2.047,0.10742,0.13822,0.58949,0.074,-0.374,3.07,7.59672,14117217280,18382176256.0,,0.0,0.594,Technology,Software - Infrastructure,147223048,141636825.0,34.395,3.3547125,4.368,15.567,0.02081,1.00754,3.98,2025-12-31,2026-05-07
AKAM,40.60473,16.743473,3.5637193,1.41,0.091680005,0.03393,119.534,2.057,1.749,0.102,0.10611,0.58284,0.058,-0.134,2.96,7.17832,17473878016,22411137024.0,,0.0,0.633,Technology,Software - Infrastructure,145385451,142056124.0,33.726,4.09546,5.253,19.539,0.021,1.1157,4.68,2026-03-31,2026-08-06
ALB,,22.440277,3.1895676,1.54,-0.04656,0.003,33.954,2.229,1.325,-0.09929,0.02263,0.13097,0.159,,-5.75,8.81228,23312132096,27490699264.0,0.82,0.5797,1.433,Basic Materials,Specialty Chemicals,117886887,117447718.0,61.999,4.5330243,5.346,37.262,0.00217,0.9593,0.02,2025-12-31,2026-05-06
ALB,,9.533688,1.8697462,0.79,-0.0182,0.01605,19.845,2.068,1.11,-0.042379998,0.24786,0.18531,0.327,,-3.42,12.66876,14244146176,17653377024.0,1.34,0.5797,1.346,Basic Materials,Specialty Chemicals,117934651,117537211.0,64.597,2.5923982,3.213,16.537,0.0019,0.96122,0.03,2026-03-31,2026-08-05
ALGN,33.64071,15.436632,3.3499007,1.0,0.103870004,0.06938,2.826,1.363,1.173,0.1017,0.22384001,0.69805,0.053,0.356,5.65,12.31292,13612295168,12568132608.0,,0.0,1.811,Healthcare,Medical Instruments & Supplies,71617275,66726491.0,56.739,3.3735852,3.115,14.763,0.0682,0.96212995,3.34,2025-12-31,2026-04-29
ALGN,29.707563,14.291778,3.0507948,0.94,0.10824,0.072340004,2.797,1.393,1.173,0.10496,0.15469,0.69912004,0.062,0.239,5.95,12.36795,12659219456,11715430400.0,,0.0,1.669,Healthcare,Medical Instruments & Supplies,71618127,67023108.0,57.939,3.0907888,2.86,13.301,0.06816,1.00872,4.39,2026-03-31,2026-07-29
ALL,5.677962,8.3715105,1.9644659,0.47,0.39518002,0.064899996,25.091,0.366,0.236,0.15191,0.29017,0.31301,0.051,1.032,38.07,25.82091,56101269504,60191268864.0,2.0,0.105100006,0.224,Financial Services,Insurance - Property & Casualty,258227312,257973436.0,110.035,0.82885826,0.889,4.817,0.00546,0.83087,0.04,2025-12-31,2026-04-29
ALL,5.5275383,9.428207,2.1777399,2.9,0.45221,0.07521,23.719,0.364,0.236,0.17813,0.18954,0.34428,0.03,3.384,45.21,26.50557,64329486336,68400488448.0,1.73,0.090299994,0.166,Financial Services,Insurance - Property & Casualty,257420930,255853237.0,114.752,0.94360733,1.003,4.609,0.005,0.85537004,0.12,2026-03-31,2026-04-29
ALLE,19.371813,15.159283,6.007576,2.22,0.36084,0.11238,104.0,1.842,1.091,0.15829,0.21409,0.45196998,0.093,0.033,7.45,9.52024,12432517120,14226616320.0,1.47,0.2742,1.03,Industrials,Security & Protection Services,86145484,84903266.0,24.023,3.0567002,3.498,14.138,0.011510001,0.98411006,3.68,2025-12-31,2026-04-28
ALLE,18.774282,14.331019,5.612859,2.11,0.34179002,0.11034001,105.863,1.908,1.101,0.15237,0.18876,0.4497,0.097,-0.07,7.31,9.57643,11793838080,13709337600.0,1.54,0.2842,0.858,Industrials,Security & Protection Services,85935861,85455480.0,24.451,2.835739,3.296,13.566,0.0025,1.01538,3.86,2026-03-31,2026-07-23
AMAT,40.670082,28.209934,14.50539,1.89,0.38863,0.14849,33.108,2.715,1.74,0.27784002,0.29892,0.48724,-0.021,0.752,9.76,14.07093,315015495680,313694486528.0,0.53,0.1826,1.637,Technology,Semiconductor Equipment & Materials,793609867,790133856.0,27.365,11.165219,11.118,35.29,0.0032499998,0.85516,2.01,2026-01-25,2026-05-14
AMAT,49.733334,31.62976,17.588495,1.34,0.39692003,0.14858,30.399,2.508,1.624,0.29314,0.31896,0.48956,0.114,0.335,10.65,16.74562,420528521216,419555540992.0,0.4,0.1731,1.567,Technology,Semiconductor Equipment & Materials,793959430,790767713.0,30.114,14.488993,14.455,45.235,0.0030500002,0.85919,1.63,2026-04-26,2026-08-13
AMCR,31.533833,9.587666,1.665343,0.5,0.07734,0.03909,138.731,1.301,0.641,0.03039,0.08295,0.1893,0.681,-0.321,1.33,4.37437,19378196480,34481807360.0,6.2,1.9267,0.708,Consumer Cyclical,Packaging & Containers,462045690,459850517.0,25.184,0.9882297,1.758,12.12,0.0028799998,0.70278,4.43,2025-12-31,2026-02-03
AMCR,35.435482,10.280358,1.7428899,0.61,0.08737001,0.04079,143.74,1.443,0.749,0.030550001,0.0859,0.19143999,0.774,-0.117,1.24,4.27417,20315469824,35493683200.0,5.92,2.0683,0.614,Consumer Cyclical,Packaging & Containers,462345690,460038306.0,25.211,0.91552365,1.6,11.088,0.0025600002,0.77795,8.17,2026-03-31,2026-05-06
AMD,106.25574,25.39617,7.202846,0.83,0.07082,0.032,6.359,2.85,1.784,0.12515001,0.17059,0.52493,0.341,2.171,2.62,10.96189,453890113536,447344082944.0,,0.0,1.963,Technology,Semiconductors,1630338779,1621476192.0,38.65,13.103442,12.914,66.322,0.0043599997,0.72246003,1.13,2025-12-27,2026-05-05
AMD,164.15895,36.81913,12.53597,1.16,0.08063,0.03647,6.005,2.725,1.75,0.13374,0.14396,0.5306,0.378,0.912,3.02,13.46474,808386560000,799910592512.0,,0.0,2.469,Technology,Semiconductors,1630600639,1621991068.0,39.547,21.58345,21.357,107.66,0.00397,0.73278,1.3,2026-03-28,2026-08-04
