Ticker,GICS_Sector,Source
NYT,Communication Services,manual-delisted-besteffort
O,Real Estate,gics-constituents
ODFL,Industrials,gics-constituents
OI,Materials,manual-delisted-besteffort
OK,Financials,manual-delisted-besteffort
OKE,Energy,gics-constituents
OMC,Communication Services,gics-constituents
ON,Information Technology,gics-constituents
ORCL,Information Technology,gics-constituents
ORLY,Consumer Discretionary,gics-constituents
OTIS,Industrials,gics-constituents
OXY,Energy,gics-constituents
PAC,Industrials,manual-delisted-besteffort
PANW,Information Technology,gics-constituents
PAYC,Industrials,manual-gics
PAYX,Industrials,gics-constituents
PBG,Consumer Staples,manual-delisted-besteffort
PBI,Industrials,manual-delisted-besteffort
PCAR,Industrials,gics-constituents
PCG,Utilities,gics-constituents
PEG,Utilities,gics-constituents
PEP,Consumer Staples,gics-constituents
PFE,Health Care,gics-constituents
PFG,Financials,gics-constituents
PG,Consumer Staples,gics-constituents
PGR,Financials,gics-constituents
PH,Industrials,gics-constituents
PHB,Materials,manual-delisted-besteffort
PHM,Consumer Discretionary,gics-constituents
PKG,Materials,gics-constituents
PLD,Real Estate,gics-constituents
PLTR,Information Technology,gics-constituents
PM,Consumer Staples,gics-constituents
PNC,Financials,gics-constituents
PNR,Industrials,gics-constituents
PNW,Utilities,gics-constituents
PODD,Health Care,gics-constituents
POOL,Consumer Discretionary,manual-gics
PPG,Materials,gics-constituents
PPL,Utilities,gics-constituents
PRU,Financials,gics-constituents
PSA,Real Estate,gics-constituents
PSKY,Communication Services,gics-constituents
PSX,Energy,gics-constituents
PTC,Information Technology,gics-constituents
PWJ,Financials,manual-delisted-besteffort
PWR,Industrials,gics-constituents
PYPL,Financials,gics-constituents
PZE,Energy,manual-delisted-besteffort
Q,Information Technology,gics-constituents
QCOM,Information Technology,gics-constituents
R,Industrials,manual-delisted-besteffort
RCL,Consumer Discretionary,gics-constituents
REG,Real Estate,gics-constituents
REGN,Health Care,gics-constituents
RF,Financials,gics-constituents
RHI,Industrials,manual-delisted-besteffort
RIG,Energy,manual-delisted-besteffort
RJF,Financials,gics-constituents
RL,Consumer Discretionary,gics-constituents
RMD,Health Care,gics-constituents
ROK,Industrials,gics-constituents
ROL,Industrials,gics-constituents
ROP,Information Technology,gics-constituents
ROST,Consumer Discretionary,gics-constituents
RRC,Energy,manual-delisted-besteffort
RSG,Industrials,gics-constituents
RTX,Industrials,gics-constituents
RVTY,Health Care,gics-constituents
SANM,Information Technology,manual-delisted-besteffort
SATS,Communication Services,manual-gics
SB,Industrials,manual-delisted-besteffort
SBAC,Real Estate,gics-constituents
SBUX,Consumer Discretionary,gics-constituents
SCHW,Financials,gics-constituents
SCI,Consumer Discretionary,manual-delisted-besteffort
SHW,Materials,gics-constituents
SII,Energy,manual-delisted-besteffort
SJM,Consumer Staples,gics-constituents
SLB,Energy,gics-constituents
SLM,Financials,manual-delisted-besteffort
SMCI,Information Technology,gics-constituents
SNA,Industrials,gics-constituents
SNDK,Information Technology,gics-constituents
SNPS,Information Technology,gics-constituents
SNT,Energy,manual-delisted-besteffort
SO,Utilities,gics-constituents
SOLV,Health Care,gics-constituents
SPG,Real Estate,gics-constituents
SPGI,Financials,gics-constituents
SRE,Utilities,gics-constituents
SRR,Consumer Discretionary,manual-delisted-besteffort
SSP,Communication Services,manual-delisted-besteffort
STE,Health Care,gics-constituents
STLD,Materials,gics-constituents
STT,Financials,gics-constituents
STX,Information Technology,gics-constituents
STZ,Consumer Staples,gics-constituents
SUB,Financials,manual-delisted-besteffort
SVU,Consumer Staples,manual-delisted-besteffort
SW,Materials,gics-constituents
SWK,Industrials,gics-constituents
SWKS,Information Technology,gics-constituents
SYF,Financials,gics-constituents
SYK,Health Care,gics-constituents
SYY,Consumer Staples,gics-constituents
T,Communication Services,gics-constituents
TAP,Consumer Staples,gics-constituents
TDC,Information Technology,manual-delisted-besteffort
TDG,Industrials,gics-constituents
TDY,Information Technology,gics-constituents
TECH,Health Care,gics-constituents
TEL,Information Technology,gics-constituents
TEN,Consumer Discretionary,manual-delisted-besteffort
TER,Information Technology,gics-constituents
TEX,Industrials,manual-delisted-besteffort
TFC,Financials,gics-constituents
TGT,Consumer Staples,gics-constituents
THC,Health Care,manual-delisted-besteffort
TIE,Materials,manual-delisted-besteffort
