Ticker,Date,Open,High,Low,Close,Volume
MSFT,2022-07-01,248.6,251.88,246.88,251.7,22837700
MSFT,2022-07-05,248.38,254.99,247.0,254.87,22941000
MSFT,2022-07-06,255.74,259.85,254.43,258.12,23824400
MSFT,2022-07-07,257.07,260.89,256.97,260.25,20859900
MSFT,2022-07-08,256.75,259.96,255.29,259.53,19658800
MSFT,2022-07-11,257.58,258.44,254.22,256.48,19455200
MSFT,2022-07-12,257.8,257.86,244.39,245.97,35868500
MSFT,2022-07-13,242.59,245.85,240.57,245.04,29497400
MSFT,2022-07-14,242.96,247.39,238.47,246.36,25102800
MSFT,2022-07-15,247.95,252.46,247.03,248.92,29774100
MSFT,2022-07-18,251.86,252.92,245.61,246.53,20975000
MSFT,2022-07-19,249.76,251.83,245.98,251.65,25012600
MSFT,2022-07-20,252.01,256.83,251.05,254.3,22788300
MSFT,2022-07-21,251.9,256.85,249.22,256.8,22404700
MSFT,2022-07-22,257.18,257.27,251.2,252.45,21881300
MSFT,2022-07-25,253.07,253.56,249.01,250.97,21056000
MSFT,2022-07-26,251.97,251.99,241.99,244.25,39348000
MSFT,2022-07-27,253.23,261.85,250.99,260.58,45994000
MSFT,2022-07-28,261.56,269.4,259.73,268.02,33459300
MSFT,2022-07-29,269.27,273.44,268.23,272.21,32152800
MSFT,2022-08-01,269.38,272.74,267.46,269.57,21539600
MSFT,2022-08-02,267.62,269.45,264.11,266.47,22754200
MSFT,2022-08-03,268.35,274.89,268.21,273.89,23518900
MSFT,2022-08-04,273.24,275.18,271.66,275.04,18098700
MSFT,2022-08-05,270.67,275.04,270.22,274.32,16774600
MSFT,2022-08-08,275.42,277.24,270.84,271.81,18739200
MSFT,2022-08-09,271.15,274.48,269.18,273.73,23405200
MSFT,2022-08-10,279.42,281.01,278.23,280.38,24687800
MSFT,2022-08-11,282.02,282.37,277.81,278.3,20065900
MSFT,2022-08-12,279.72,283.04,278.23,283.04,22619700
MSFT,2022-08-15,282.16,285.25,281.3,284.56,18085700
MSFT,2022-08-16,283.12,285.11,281.6,283.82,18102900
MSFT,2022-08-17,281.54,285.04,281.27,283.07,18253400
MSFT,2022-08-18,281.97,283.65,280.9,281.95,17186200
MSFT,2022-08-19,280.72,281.06,277.47,278.05,20570000
MSFT,2022-08-22,274.09,274.46,269.37,269.89,25061100
MSFT,2022-08-23,268.61,270.96,267.6,268.61,17527400
MSFT,2022-08-24,267.61,269.38,267.32,267.98,18137000
MSFT,2022-08-25,269.48,271.12,266.75,270.95,16583400
MSFT,2022-08-26,271.18,272.4,260.39,260.5,27549300
MSFT,2022-08-29,258.32,259.83,256.38,257.72,20338500
MSFT,2022-08-30,259.12,259.49,253.28,255.52,22767100
MSFT,2022-08-31,257.88,259.55,253.93,254.07,24791800
MSFT,2022-09-01,251.54,253.5,248.18,253.03,23263400
MSFT,2022-09-02,254.29,257.24,247.27,248.81,22855400
MSFT,2022-09-06,248.95,250.53,244.81,246.08,21328200
MSFT,2022-09-07,247.49,251.5,246.05,250.78,24126700
MSFT,2022-09-08,250.22,253.06,247.58,251.2,20319900
MSFT,2022-09-09,253.12,257.72,252.92,256.97,22084700
MSFT,2022-09-12,258.25,259.88,257.65,259.1,18747700
MSFT,2022-09-13,251.51,253.03,244.47,244.86,33353300
MSFT,2022-09-14,246.35,247.03,242.79,245.08,23913000
MSFT,2022-09-15,242.7,244.28,237.11,238.43,31530900
MSFT,2022-09-16,237.34,238.35,235.21,237.81,39791800
MSFT,2022-09-19,235.6,238.2,234.03,237.6,26826900
MSFT,2022-09-20,235.22,236.62,232.86,235.59,26660300
MSFT,2022-09-21,237.35,240.65,232.14,232.18,28625600
MSFT,2022-09-22,231.14,236.96,230.84,234.16,31061200
MSFT,2022-09-23,232.76,234.3,228.54,231.18,34176000
MSFT,2022-09-26,230.34,234.61,230.19,230.73,27694200
MSFT,2022-09-27,233.19,234.95,227.86,229.72,27018700
MSFT,2022-09-28,230.11,235.47,228.08,234.24,29029700
MSFT,2022-09-29,232.13,233.16,227.77,230.78,27484200
MSFT,2022-09-30,231.54,233.73,226.14,226.31,35694800
MSFT,2022-10-03,228.74,234.77,228.02,233.92,28880400
MSFT,2022-10-04,238.15,243.27,238.04,241.83,34888400
MSFT,2022-10-05,239.03,243.49,237.19,242.14,20347100
MSFT,2022-10-06,240.91,243.25,239.11,239.8,20239900
MSFT,2022-10-07,234.08,234.49,226.57,227.61,37769600
MSFT,2022-10-10,226.45,227.92,220.31,222.76,29743600
MSFT,2022-10-11,221.18,222.57,217.76,219.03,30474000
MSFT,2022-10-12,219.02,221.41,217.62,219.36,21903900
MSFT,2022-10-13,213.63,229.42,212.93,227.61,42551800
MSFT,2022-10-14,228.87,230.52,221.87,222.09,30198600
MSFT,2022-10-17,229.14,232.19,228.48,230.8,28142300
MSFT,2022-10-18,236.35,237.02,228.71,231.75,26329600
MSFT,2022-10-19,230.33,232.83,227.66,229.78,19985700
MSFT,2022-10-20,229.09,234.48,228.22,229.46,21811000
MSFT,2022-10-21,228.09,236.12,227.86,235.26,26299700
MSFT,2022-10-24,236.86,240.82,234.47,240.25,24911200
MSFT,2022-10-25,240.26,243.93,238.87,243.56,34775500
MSFT,2022-10-26,224.62,231.55,223.55,224.77,82543200
MSFT,2022-10-27,224.5,227.07,219.39,220.33,40424600
MSFT,2022-10-28,219.83,229.9,219.65,229.19,40647700
MSFT,2022-10-31,227.14,228.27,224.61,225.56,28357300
MSFT,2022-11-01,227.96,229.07,220.89,221.71,30592300
MSFT,2022-11-02,222.96,224.75,213.81,213.87,38407000
MSFT,2022-11-03,213.86,214.17,207.92,208.18,36633900
MSFT,2022-11-04,211.39,215.32,207.39,215.12,36789100
MSFT,2022-11-07,215.7,221.94,215.01,221.42,33498000
MSFT,2022-11-08,222.22,225.09,219.45,222.39,28192500
MSFT,2022-11-09,220.93,222.16,217.98,218.15,27852900
MSFT,2022-11-10,228.76,236.44,228.35,236.1,46268000
MSFT,2022-11-11,236.11,240.97,235.08,240.11,34620200
MSFT,2022-11-14,235.14,237.0,232.44,234.71,31123300
MSFT,2022-11-15,238.7,240.01,233.23,235.12,31390100
MSFT,2022-11-16,236.58,237.56,234.27,235.55,24093300
MSFT,2022-11-17,231.7,237.03,231.55,235.5,23123500
MSFT,2022-11-18,237.28,237.51,232.92,235.05,27613500
MSFT,2022-11-21,235.26,238.41,235.02,235.86,26394700
MSFT,2022-11-22,237.36,239.04,234.55,238.76,19665700
MSFT,2022-11-23,238.84,241.93,238.02,241.25,19508500
MSFT,2022-11-25,240.99,242.34,240.42,241.16,9200800
MSFT,2022-11-28,239.79,240.34,234.64,235.58,24778200
MSFT,2022-11-29,235.23,236.58,232.12,234.18,17956300
MSFT,2022-11-30,234.42,248.8,233.73,248.61,47594200
MSFT,2022-12-01,247.38,249.57,244.5,248.18,26041500
MSFT,2022-12-02,243.43,249.51,243.3,248.5,21528500
MSFT,2022-12-05,245.56,247.33,241.72,243.8,23435300
MSFT,2022-12-06,244.41,245.42,237.55,238.85,22463700
MSFT,2022-12-07,238.57,239.86,236.02,238.12,20481500
MSFT,2022-12-08,238.58,242.38,236.84,241.07,22611800
MSFT,2022-12-09,238.44,241.96,237.92,239.14,20609700
MSFT,2022-12-12,241.12,246.08,240.85,246.05,30665100
MSFT,2022-12-13,255.0,257.17,246.6,250.35,42196900
MSFT,2022-12-14,250.55,255.87,247.81,250.64,35410900
MSFT,2022-12-15,247.23,247.7,241.01,242.64,35560400
MSFT,2022-12-16,242.19,243.45,237.28,238.43,86102000
MSFT,2022-12-19,238.6,238.94,232.61,234.3,29696400
MSFT,2022-12-20,233.28,236.7,232.32,235.62,25150800
MSFT,2022-12-21,235.51,239.34,233.97,238.18,23690600
MSFT,2022-12-22,235.09,235.8,227.89,232.1,28651700
MSFT,2022-12-23,230.07,232.76,227.96,232.62,21207000
MSFT,2022-12-27,232.6,232.82,229.8,230.9,16688600
MSFT,2022-12-28,230.83,233.59,228.18,228.53,17457100
MSFT,2022-12-29,229.62,235.73,229.62,234.85,19770700
MSFT,2022-12-30,232.12,233.82,230.61,233.69,21938500
MSFT,2023-01-03,236.86,239.46,231.33,233.45,25740000
MSFT,2023-01-04,226.34,226.91,220.18,223.24,50623400
MSFT,2023-01-05,221.39,221.73,216.09,216.62,39585600
MSFT,2023-01-06,217.3,219.99,213.74,219.18,43613600
MSFT,2023-01-09,220.66,225.33,220.62,221.31,27369800
MSFT,2023-01-10,221.94,225.39,221.52,223.0,27033900
MSFT,2023-01-11,225.37,229.92,225.2,229.74,28669300
MSFT,2023-01-12,229.24,233.76,227.59,232.41,27269500
MSFT,2023-01-13,230.94,233.25,228.91,233.11,21333300
MSFT,2023-01-17,231.88,234.75,231.03,234.2,29831300
MSFT,2023-01-18,235.39,236.18,229.5,229.78,30028700
MSFT,2023-01-19,227.8,229.5,224.78,226.0,28623000
MSFT,2023-01-20,228.85,234.58,228.51,234.08,35389800
MSFT,2023-01-23,234.93,238.9,233.52,236.38,31934000
MSFT,2023-01-24,236.3,237.71,234.29,235.85,40234400
MSFT,2023-01-25,228.48,237.08,224.99,234.46,66526600
MSFT,2023-01-26,237.42,241.96,235.81,241.66,33454500
MSFT,2023-01-27,242.62,243.44,240.52,241.81,26498900
MSFT,2023-01-30,238.26,239.32,236.01,236.5,25867400
MSFT,2023-01-31,237.22,241.61,236.74,241.47,26541100
MSFT,2023-02-01,241.66,248.65,239.19,246.29,31259900
MSFT,2023-02-02,252.2,257.92,250.67,257.83,39940400
MSFT,2023-02-03,252.9,257.44,250.52,251.74,29077300
MSFT,2023-02-06,250.86,251.69,248.26,250.2,22518000
MSFT,2023-02-07,253.87,261.9,253.43,260.72,50841400
MSFT,2023-02-08,266.21,269.68,259.4,259.91,54686000
MSFT,2023-02-09,266.8,266.97,256.08,256.88,42375100
MSFT,2023-02-10,254.84,257.34,253.99,256.37,25818500
MSFT,2023-02-13,260.8,267.58,260.32,264.38,44630900
MSFT,2023-02-14,265.7,267.94,262.39,265.21,37047900
MSFT,2023-02-15,262.11,264.47,260.02,263.09,28922400
MSFT,2023-02-16,257.91,260.57,255.84,256.09,29603600
MSFT,2023-02-17,253.39,254.07,250.08,252.09,30000100
MSFT,2023-02-21,248.59,249.58,245.77,246.82,28397400
MSFT,2023-02-22,248.21,248.46,244.55,245.69,22491100
MSFT,2023-02-23,249.65,250.9,244.69,248.88,29219100
MSFT,2023-02-24,244.18,245.19,242.36,243.45,24990900
MSFT,2023-02-27,246.62,246.97,243.62,244.37,21190000
MSFT,2023-02-28,243.31,245.67,242.98,243.65,22491000
MSFT,2023-03-01,244.96,245.12,240.1,240.57,27565300
MSFT,2023-03-02,240.85,245.58,239.93,245.3,24808200
MSFT,2023-03-03,246.36,249.71,245.57,249.38,30760100
MSFT,2023-03-06,250.5,254.1,250.06,250.93,24109800
MSFT,2023-03-07,250.37,251.73,247.53,248.27,21473200
MSFT,2023-03-08,248.16,248.65,245.01,247.83,17340200
MSFT,2023-03-09,249.9,253.56,245.76,246.48,26653400
MSFT,2023-03-10,245.27,246.94,241.87,242.84,28333900
MSFT,2023-03-13,241.68,251.94,240.05,248.05,33339700
MSFT,2023-03-14,250.81,255.03,249.94,254.76,33620300
MSFT,2023-03-15,253.97,260.32,253.21,259.3,46028000
MSFT,2023-03-16,259.07,270.16,257.19,269.81,54768800
MSFT,2023-03-17,271.82,276.78,269.93,272.97,69527400
MSFT,2023-03-20,270.57,271.06,263.61,265.93,43466600
